meanDiet,season,sdDiet,plant
22.4228571428571,2-Summer,19.8622873355779,lichen
51.0223611111111,4-Winter,27.4768164757566,lichen
26.9630434782609,5-Spring,24.5578873526469,lichen
33.9447619047619,3-Autumn,30.240738023244,lichen
25.99,1-Calving,18.81975616798,lichen
19.2296428571429,2-Summer,16.2392531944104,graminoid
14.1237810944776,4-Winter,14.6163465047893,graminoid
21.5232753621739,5-Spring,15.5313405755169,graminoid
20.6567142857143,3-Autumn,21.2288654598941,graminoid
26.8,1-Calving,22.4772477556009,graminoid
6.46003571428572,2-Summer,14.3899431458021,forbs
3.75259009013514,4-Winter,11.1276471724805,forbs
5.98760869565217,5-Spring,12.495022087867,forbs
6.87595238095238,3-Autumn,19.653047449381,forbs
1.97,1-Calving,3.65484457793883,forbs
31.6661785714286,2-Summer,23.3644179454549,shrubs
12.1590855855405,4-Winter,10.403936182295,shrubs
15.6392028985652,5-Spring,15.8394839239434,shrubs
18.0969523809524,3-Autumn,15.8737664417623,shrubs
34.98,1-Calving,27.6194295540094,shrubs
6.07922222222222,2-Summer,11.4420151391459,horsetail
2.16666666666667,4-Winter,4.58184824424962,horsetail
3.95714285714286,5-Spring,4.8856446667276,horsetail
6.871,3-Autumn,10.5693597724744,horsetail
4.1,1-Calving,3.64897245810379,horsetail
2.10714285714286,2-Summer,11.1499519537722,tree
1.57702702702703,4-Winter,6.19101309117902,tree
0,5-Spring,0,tree
0,3-Autumn,0,tree
0,1-Calving,0,tree
5.53847368421053,2-Summer,5.29790749435222,moss
13.3091147540984,4-Winter,10.8357769666021,moss
17.8513333333333,5-Spring,15.9528398128746,moss
10.4578571428571,3-Autumn,11.0924341357046,moss
3.725,1-Calving,2.5860891598816,moss
7.85,2-Summer,11.7568419796021,fungi
0.2,4-Winter,0.447213595499958,fungi
0,5-Spring,0,fungi
4.02,3-Autumn,4.80645399437049,fungi
0,1-Calving,,fungi
40.2333571428571,2-Summer,23.2349126519081,vascular
17.4887027027027,4-Winter,15.0360049212746,vascular
21.6268115942174,5-Spring,18.0527122246202,vascular
24.9729047619048,3-Autumn,23.1514341713527,vascular
36.95,1-Calving,26.8115335878672,vascular
